sim_time,pitch,roll,yaw,pitch_delay,roll_delay,yaw_delay
129.5,0.00574401,-0.00465259,0.00489784,0.00709746,-0.00760972,0.00724633
129.504,0.00591897,-0.00471159,0.00489114,0.00728303,-0.00772392,0.00723201
129.508,0.00609585,-0.00477062,0.0048845,0.00747088,-0.00783865,0.00721782
129.512,0.00627367,-0.00482932,0.00487789,0.00766023,-0.00795353,0.00720374
129.516,0.00645218,-0.00488815,0.00487118,0.00785251,-0.00806844,0.00718983
129.52,0.00663087,-0.00494667,0.00486437,0.0080478,-0.00818292,0.0071761
129.524,0.00680957,-0.00500476,0.00485749,0.00824514,-0.00829711,0.0071625
129.528,0.00698877,-0.00506238,0.00485052,0.00844397,-0.00841158,0.00714901
129.532,0.00716926,-0.00511944,0.00484344,0.00864299,-0.00852596,0.00713557
129.536,0.007351,-0.00517572,0.00483628,0.0088416,-0.0086399,0.00712224
129.54,0.00753417,-0.00523097,0.00482908,0.00903984,-0.00875408,0.00710897
129.544,0.00771786,-0.00528541,0.00482191,0.00923865,-0.00886835,0.00709573
129.548,0.00790241,-0.00533895,0.00481481,0.00943735,-0.00898209,0.00708245
129.552,0.00808709,-0.00539122,0.00480783,0.00963681,-0.0090949,0.00706907
129.556,0.00827092,-0.00544176,0.00480089,0.00983821,-0.00920654,0.00705563
129.56,0.00845291,-0.0054907,0.00479401,0.0100406,-0.00931721,0.00704218
129.564,0.00863277,-0.00553801,0.00478718,0.0102433,-0.0094274,0.0070287
129.568,0.00881169,-0.00558409,0.0047804,0.0104455,-0.00953757,0.00701519
129.572,0.00899053,-0.00562904,0.00477368,0.0106466,-0.00964699,0.00700167
129.576,0.0091694,-0.00567337,0.00476697,0.0108456,-0.00975555,0.0069882
129.58,0.00934763,-0.00571773,0.0047603,0.0110438,-0.00986337,0.0069748
129.584,0.00952428,-0.00576305,0.00475365,0.0112421,-0.00997011,0.0069614
129.588,0.00969833,-0.00580849,0.00474702,0.0114395,-0.0100759,0.00694797
129.592,0.00986902,-0.00585448,0.00474041,0.0116373,-0.0101809,0.00693451
129.596,0.0100364,-0.00590072,0.00473377,0.0118353,-0.0102845,0.00692115
129.6,0.0102005,-0.00594734,0.00472708,0.012032,-0.0103865,0.00690795
129.604,0.0103626,-0.00599433,0.0047203,0.012227,-0.0104874,0.00689493
129.608,0.0105236,-0.00604212,0.00471338,0.0124199,-0.0105873,0.00688204
129.612,0.0106835,-0.0060907,0.00470635,0.012611,-0.0106858,0.00686922
